"Type","Sentence"
"sci","все участки заповедника находятся в пределах ареала вида, где основными местообитаниями являются сырые участки леса, прибрежные древесно-кустарниковые заросли, высокотравные луга в пойме р. урал и некоторых её притоков, в открытой степи отмечалась лишь по сырым луговинам у пресных водоёмов."
"sci","все участки заповедника, кроме участка «ащисайская степь», находятся в пределах ареала вида, хотя и располагаются у его южной границы."
"sci","все участки заповедника, кроме участка «ащисайская степь», находятся у юго-восточных пределов ареала вида, где основными местами его обитания являются пресные водоёмы речных долин (старицы, пруды, копани и т."
"sci","все участки заповедника, кроме участка «ащисайская степь», располагаются у южной границы ареала вида."
"sci","все четыре группы распределяются по территории степного приуралья мозаично."
"sci","все четыре участка госзаповедника «ростовский», получившего статус биосферного, расположены в долине реки западный маныч в подзоне дерновинно-злаковых степей в значительной степени опустыненных и солонцеватых."
"fict","все это сопровождается шумом, треском и тревожным криком степных птиц."
"sci","всего на территории участка «айтуарская степь» известно 10 случаев нападения волков, жертвами которых стали две овцы, восемь коз, четыре телёнка и одна собака."
"sci","в-седьмых, главным достижением «степной экспедиции рго» являются картины природы, которые предстают путешественникам во всей своей красе."
"fict","вскоре все войско стянулось повыше бударинского; тысячи три служилого народа,– а тысяч шесть было уже на службе: три по линии да три на внешней,– тысячи три, не считая работников, столпились на голой, бесплодной степи, на сухом море, привезли на подводах каждый бударку [долбленый челнок, тонко и красиво обделанный, легкий и ходкий."
"fict","вскоре около одной из кибиток огонь разгорелся ярче, и где -то в потемневшей степи раздался похожий на плач ребенка, крик молодого барашка, - невинной жертвы нашего неожиданного посещения."
"fict","вспоминалось детство, наши детские скачки, купанье, степи весною, казак василистович, лечивший на хуторе нашего карего от «мышек»."
"fict","вспоминая на чужбине родину, казак редко помянет дом или двор; нет, он взгрустнет об яике, сыне горыныче, о соленых степях и реже о своей любимой душеньке."
"fict","вспомнилось, как ходил с иваном в кусты по речке, сушняк всякий и хворост на растопку собирать — чем -то их надо было разжигать, кизяки, а других дров тут сроду не водилось, степь."
"fict","вспомнилось, через пласты прокуренного райкомовского воздуха, рябь и пестроту циркуляров увиделось холодное поле, всероссийская запашка под небом суровой весны, какие -то люди, много людей, малахаи и кепи, постные зрачки то ли уполномоченного, то ли агента райфо, сапогом ковыряющего огрех, даль ветреную и в этой дали виднеющиеся кое-где, тряпьем крытые и старой соломой, шалаши пахарей, волчьи балки, отгорки сизые, степь, и все это отражалось, изгибалось в закругленной мирообъемлющей линзе, в зыбкой пасмурной глубине воловьего глаза, покорного и терпеливого, — и вот отразилось напоследок еще и пропало, и забылось тут же, оставив по себе лишь не внятную никому, нынешнему хозяину тоже, старческую беспамятную слезу."
"fict","встал во весь рост и увидел: у ограды, облокотившись на решетку и подогнув ноту, стояла девушка-работница и смотрела, прищурив от солнца глаза, на пруд, на правый дальний берег, туда, где за ширью золотой воды стоял каменный сонный город, начиналась степь, а над нею, сливаясь с небом, опоясывали горизонт голубые уральские горы."
"fict","встаю голодный, а он раздуется, как бычий пузырь, ляжет кверху пузом и тогда зачнет икать на всю степь."
"sci","встречаемость степей на почвах «степного» химического состава в лесных местоположениях на плато свидетельствует о возможности устойчивого равновесия степных фитоценозов и почв и о наличии двух устойчивых состояний ландшафта – степного и лесного – в краевых частях плато, к которым во многих местах подступают заросли кустарников."
"sci","встречался также на участках «буртинская степь» и «айтуарская степь», где сейчас стал определённо малочисленным."
"fict","всю дичь по месту ее жительства, хотя оно и изменяется временами года и необходимым добыванием корма, можно разделить на четыре разряда: i) болотную, ii) водяную, iii) степную, или полевую, и iv) лесную."
"fict","всю жизнь середь степи живут, где уж им плавать."
"fict","вся заяицкая сторона была тогда дикою степью, открытою дверью для ""легкомысленного степного народа"", который то и дело, ""перелезши"" через яик, устремлялся на волгу и даже в заволжскую русь... сторожевая служба казаков была очень важна для государства, а казаки жаловались, что астраханские гости ""оголодили"" все войско."
"fict","вся земля, кончая последней былинкой в степи, отвечает солнцу."
"fict","вся совокупность нашей скромной экспедиции - и костистая лошадь, и скрипучая тележка, и наши фигуры в белых картузах, скоро покрывшихся летучей степной пылью, - ничем не нарушала привычной картины степной дороги, то лениво взбегавшей на увалы, то тянувшейся серою лентой между бахчами...  солнце сильно склонилось к закату."
"fict","вся степная птица, отпуганная пожаром, опять занимает свои места и поселяется в этом море зелени, весенних цветов, цветущих кустарников; со всех сторон слышны: не передаваемое словами чирканье стрепетов, заливные, звонкие трели кроншнепов, повсеместный горячий бой перепелов, трещанье кречеток."
"fict","вся степь, исключая какого-нибудь десятиверстного пространства вокруг нас, была ими покрыта."
"sci","вся территория заповедника располагается на путях сезонных миграций вида, хотя ко времени заповедания территории мигрирующим он считался лишь для участков «буртинская степь» и «ащисайская степь» (степной заповедник…, 1996)."
"fict","всякое пространство ковылистой нови, никогда не паханной земли, иногда на несколько сот верст в окружности, а иногда небольшое, зовут там степью."
"fict","вчера проходили вы по болоту, или по размокшему берегу пруда, или по лужам на прошлогодних ржанищах и яровищах, где насилу вытаскивали ноги из разбухшего чернозема, проходили с хорошею собакой и ничего не видали; но рано поутру, на другой день, находите и болота, и берега разливов, и полевые лужи, усыпанные дупелями, бекасами и гаршнепами; на лужах, в полях, бывает иногда соединение всех пород дичи -- степной, болотной, водяной и даже лесной."
"sci","в-четвертых, найдены неопровержимые доказательства естественно- исторического единства степной евразии, которое проявилось в топонимике, способах хозяйствования, культуре народов, населяющих этот удивительный мегарегион."
"sci","в-шестых, все оседлые и даже полукочевые народы, населяющие степную евразию, развиваются и существуют многие тысячелетия не изолированно, а тесно взаимодействуя друг с другом, что подтверждает сохранившееся археологическое наследие, например, элементы сакральных сооружений в виде курганов, степных некрополей в виде каменной городьбы, многочисленных исторических валов разной протяженности."
"fict","вы его, иван иваныч, знаете... на пашне у него в степи хуторок есть маленький, так вздумал для надобности печурку скласть."
"fict","вы, вольные, свободные сыны тихого дона, красавицы кубани, буйного терека, залетные могучие орлы уральских, оренбургских, астраханских, семиреченских и сибирских степей и гор и далеких забайкалья, амура и уссури, всегда стояли на страже чести и славы ваших знамен, и русская земля полна сказаниями о подвигах ваших отцов и дедов."
"sci","выводы 1.	ландшафт 	заповедника «шайтан-тау» характеризуется значительными площадями территорий, допускающих примерно равную вероятность существования степных и лесных сообществ."
"sci","выводы 1.	современная фауна участка «буртинская степь» заповедника «оренбургский» достоверно включает четыре вида земноводных (чесночница палласа, зелёная жаба, остромордая лягушка, озёрная лягушка) и четыре вида пресмыкающихся (болотная черепаха, прыткая ящерица, живородящая ящерица, восточная степная гадюка)."
"fict","выеду, оседламши, в степь, подыму зайца в бурьянах и сто сажен не отпущу — стопчу конем."
"fict","выехав с ветрянки, осип матвеевич тихо поглядывал на зеленую щетинку степей."
"fict","выйдет хозяин в степь — глядит, не нарадуется."
"fict","выйдя за калитку, разметнов свернул не направо, по пути к сельсовету, а налево, в степь."
"fict","выросла и обросла постройками молодая краснокутская станица; на рубеже с бывшими помещичьими землями, по рекам чиру, черной и фроловке, над степными балками и логами, гранича с украинскими слободами, повылупились новые хутора."
"fict","высокая колокольня первого господствует над всеми окрестными строениями и видна за тридцать верст со стороны степи."
"sci","высокое разнообразие фаун участков «буртинская степь» и «айтуарская степь» обусловлено наиболее широким спектром биотопов, представленных на этих участках (разные варианты степей, а также мелколиственные, луговые, околоводные и даже заболоченные биоценозы)."
"fict","выходило диковатое: то, что обнадеживало бы, что обещало избавленье всем им, собратьям неверным, от унизительного и гибельного этого равнодушия их и самозабытья, обреталось лишь там, в той отрешенности от всего, забытьи... он дергался, вскидывал голову и долго, приходя в себя, смотрел через промороженное насквозь, в мелких звездчатых снежинках вагонное стекло на степь, доверху заснеженную, и на то, как умирало в фиолетовой дымной нежити у горизонта маленькое, скукоженное до неузнаваемости и как никогда смертное солнце."
"fict","выходят за калитку, над головою редкие отуманенные звезды, полынная прохлада, пришедшая со степи, дальний за школой фонарь, лампочка простая на столбу: проводить, может?.."
"fict","вышедшие на прогон бабы долго махали уезжавшим платками, а потом в степи поднялась поземка, и за снежной кипящей мглой не стало видно ни медленно взбиравшихся на гору подвод, ни шагавших рядом с ними казаков."
"sci","выявил высокую изменчивость среднегодовой температуры (cv = 22.2–27.2%) в казахстанских провинциях сухостепной и степной зон."
"sci","выявлен будущий участок госзаповедника «оренбургский» «айтуарская степь»."
"sci","выявлена крайне неблагоприятная динамика гидротермических условий, имеющих особенно выраженный засушливый тренд в заволжской и казахстанской провинциях степной и сухостепной зон области, сопровождающийся снижением продуктивности фитомассы искусственных и природных ценозов."
"sci","га было принято совнаркомом рффср в 1930 г. в 1933 г. в. в. алёхин возглавил особую экспедицию для выделения нескольких наиболее крупных степных участков для будущего заповедника."
"sci","га) по европейским меркам степных участка в подзоне настоящих степей в четырёх ландшафтных провинциях области – на общем сырте, в предуралье, в низкогорной части южного урала и в зауралье – на западной окраине тургайской физико-географической страны (чибилёв, 2014)."
"fict","газету «русский парижанин» шлют ему французишки… степи, грит, машиной стрижем, в луга скоро заберемся."
"fict","где -то недалеко, в балке наверное, был пруд или степной лиман."
"fict","где -то позади остался, скрылся за изволоком гремячий лог, и широкая — глазом не окинешь — степь поглотила давыдова."
"fict","где -то там, в вышних беспредельных просторах, гуляли ветры, плыли осиянные солнцем холодные облака, а на земле, только что принявшей веселого лошадника и пьяницу деда сашку, все так же яростно кипела жизнь: в степи, зеленым разливом подступившей к самому саду, в зарослях дикой конопли возле прясел старого гумна неумолчно звучала гремучая дробь перепелиного боя, свистели суслики, жужжали шмели, шелестела обласканная ветром трава, пели в струистом мареве жаворонки, и, утверждая в природе человеческое величие, где -то далеко-далеко по суходолу настойчиво, злобно и глухо стучал пулемет."
"sci","географические особенности степной зоны, также как и присутствие азональных ландшафтов, играют существенную роль как в жизнедеятельности народов, населяющих эту территорию, так и в особенностях цивилизационного развития и историко-культурной общности."
"sci","геоморфологическая ниша кустарников включает: 1) средние, по сравнению со степями и лесами, значения tpi; 2) максимальные значения tri (при наиболее значимой окрестности около 125 м, которая позволяет максимально чётко различать даже минимальные площадки остаточных поверхностей выравнивания); 3) уклоны близкие к максимальным; 4) экспозиции	преимущественно	западных румбов; средняя, но ближе к характерной для степей, вертикальная и горизонтальная выпуклость; максимальное превышение над тальвегами; максимальный (наряду со степями) индекс баланса массы, то есть рассеяние материала."
"sci","гигантизму и торжеству трансформизма в ссср способствовало наличие самого большого в мире мало освоенного пространства и ресурсов, среди которых особо выделялась степная зона, от заволжья до оби остававшаяся в основном не распаханной."
"fict","глава xiii в гостях у степного сановника."
"sci","главная отличительная особенность ландшафтной структуры – чередование широколиственных лесов на склонах «холодных» экспозиций (северной и восточной) и злаково-разнотравных степей на гребнях и склонах «тёплых» экспозиций (южной и западной)."
"sci","главная ценность этой местности – эталонные дубравные лесостепи, лучшие по степени сохранности на всём пространстве восточно-европейской лесостепи от прикарпатья до южного урала."
"sci","главным принципом сохранения и дальнейшего развития четырёх степных участков госзаповедника «оренбургский» является полный запрет на его территории всех видов хозяйственной деятельности, включая разновидности туризма, рекреацию, добычу биологических видов и т.д."
"sci","глубоко понимали и понимают эстетику степей местные народы, которые нарекли все урочища и видовые точки замечательными именами-топонимами, воспели их в народном творчестве."
"fict","глядя на него, григорий словно с горы на далекую, задернутую дождевой марью степь глядел."
"sci","гнездование степных орлов на территории данного участка в целом стало нехарактерным, но при этом, по-видимому, сохраняется возможность нахождения единичных гнезд в отдельные годы на / близ территории участка, например в 1998 и 2007 гг."
"sci","гнездящимся, летующим и мигрирующим видом она признавалась лишь для участка «ащисайская степь» (степной заповедник…, 1996)."
"fict","голова степного сановника была украшена необыкновенно грузным сооружением, очень напоминавшим китайскую пагоду с поднятыми углами крыши... он стоял неподвижно, с сознанием важности всего этого ансамбля, а женщины смотрели на него с восхищением."
"fict","гони их правой стороной, так удобнее, затем что на этой и фронт будет дальше, и степь голая,— не уйдут, ежели опамятуются и вздумают убегать."
"fict","гонит и гонит ближним ветром теплый дикий ковыль на взлобках, это рядом; а другие, дальние, осинники волнуют и хлеба, торопят, тянут за собою медлительные облака, загромоздившие горизонт, треплют, понуждают к степному, мимолетному хотя бы дождю светлому — так нужен всегда он здесь, кстати всегда."
"fict","город на кусочки раскидал бы по степи."
"sci","горчаковского (1969, 2000), появление ковылей в островных горных степях южного урала связано с термическим максимумом второй половины среднего голоцена, что привело к инвазии и доминированию в фитоценозах степных растений, имеющих широкий ареал в степях евразии."
"fict","горький полынный запах выкошенной степи к вечеру усилился, но стал мягче, желанней, утратив полдневную удушливую остроту."
"sci","господствуют степи."
"sci","граница леса и степи уже более столетия используется как традиционный объект для исследования подобных явлений."
"fict","григорий пересек поперечную отножину и помчался по пологому склону, завидев вдали черную цепку собак, гнавших волка по степи."
"fict","григорий стахеевич только два дня как прискакал спешно из степи."
"fict","григорий упал на нары, хотел еще блуждать в воспоминаниях по исхоженным, заросшим давностью тропам, но сон опьянил его; он уснул в той неловкой позе, которую принял лежа, и во сне видел бескрайнюю выжженную суховеем степь, розовато-лиловые заросли бессмертника, меж чубатым сиреневым чабрецом следы некованых конских копыт… степь была пустынна, ужасающе тиха."
"fict","григорий, поднимаясь из буерака, кругообразно поводя поводьями, на минуту потерял его из виду, а когда выскочил на бугор — волк мельтешился далеко-далеко; по черной ряднине степи, сливаясь с землей, плыли в бурьянах черные собаки, а дальше сбоку, полосуя крепыша рукоятью арапника, обскакивал крутой яр старый пан."
"fict","гриневич похож на каменную бабу в степи."
"fict","грозила степная весенняя распутица; в каждом ярке и каждой балке — шумные потоки снеговой воды."
"sci","грошева  в xx веке в ссср разрабатывались и реализовывались аграрно-социальные мегапроекты по трансформации ландшафтов, освоению степных земельных и водных ресурсов."
"sci","группа видов, встречающихся только в зональных вариантах степей, немногочисленна."
"fict","густой полновесный звук вырвался из жерла комком и долго таял над степью, как белая пенка дыма, сомкнувшись с отчетливым и укороченно-резким треском разрыва."
"sci","гюльденштедта) отряда большой академической экспедиции 1768-1774 годов в значительной степени были степными и охватывали огромную территорию: от причерноморья и прикаспия до бассейна амура."
"fict","да не приписывают этого исцеления употреблению одного кумыса: он мало оказывает пользы без степного корма для кобыльих маток, без степного воздуха, без жизни в степи."
"fict","да подите вы... — она отрывает руки от бревен и быстро уходит от нас в степь."
"fict","да, казачий строй выработал свой особенный человеческий тип... что внесет он со своей стороны в ту будущую волю, которая должна теперь вырабатываться не на ""украинных началах"" борьбы, а ""а началах одинаковых и для уральска, и для илека, и для киргизской степи, над которой в эти минуты перед моим взглядом, гам за уралом, висела туманная мгла...  к вечеру следующего дня мы подъезжали уже к уральску."
"fict","да, кончалась для казаков теплая жизнь в закутке, обрывались веселые бродяжничества в бездорожной, от века немежованной степи."
"fict","давно растаяло где -то на краю степи багровое солнце и полиняло, поблекло небо."
"fict","давно уж опросталась от снега степь, повеселела вся, зазеленела, хотя заметно свежее здесь, чем в селе, простору для ветра и остуды больше."
"fict","давыдов от неожиданного рывка откинулся назад, больно ударился локтем о дрожину; колеса мягко затарахтели по летнику41в степь."
"fict","даже бледному месяцу синим сиянием и голубыми полосами откликаются всегда река и степь."
"sci","даже в июле степь зеленела, травостой был густым, в результате накопилось много ветоши и подстилки."
"fict","даже курган синеет на грани видимого сказочно и невнятно, как во сне… степь родимая!"
"sci","даже не внедрённый проект по переброске части стока рек способствовал развитию фундаментальной науки вдоль предполагаемой трассы, прежде всего в оренбургской области – наиболее типичном степном регионе, модельном по последствиям мегапроектов."
"sci","даже при наличии направленной климатической тенденции результаты взаимоотношений леса и степи могут быть неоднозначны: в условиях густорасчленённого горного рельефа тот или иной тип растительности может получать преимущества в зависимости от локальных условий увлажнения и освещения, то есть экспозиции, крутизны, кривизны поверхности."
"fict","даже стекла, за которыми медленно ползла вечереющая, насквозь прохваченная холодом степь, были чисты, без наледи."
"fict","дай, думаю, посмотрю лошадей известного степного заводчика г-на чернобая."
"sci","далее следует буртинская степь."
"sci","далее эти птицы, пересекая территорию участка «предуральская степь», выходят на долину р. илек, откуда следуют западнее."
"fict","далеко над степью погасал широкий закат."
"fict","далеко, очень далеко от моей милой, моей прекрасной, моей бедной родины я люблю иногда, глядя на широкую безлюдную степь, перенестися мыслию на берег широкого днепра и сесть где-нибудь, хоть, например, в трахтемирове, под тенью развесистой вербы, смотреть на позолоченную закатом солнца панораму, а на темном фоне этой широкой панорамы, как алмазы, горят переяславские храмы божий, и один из них ярче всех сверкает своею золотою головою; это собор, воздвигнутый мазепою."
"fict","даль была видна, как и днем, но уж ее нежная лиловая окраска, затушеванная вечерней мглой, пропала, и вся степь пряталась во мгле, как дети мойсея мойсеича под одеялом."
"fict","даль обволакивалась легкою предвечернею дымкой, и только вправо зеленая полоска лесной поросли отмечала вдали берега излучистого урала...  солнце совсем уже село, и теплые сумерки лежали над степями, когда наша тележка въехала в улицы трекиных хуторов, где мы наметили свой первый ночлег."
"fict","дальше местность шла книзу, там виднелось только небо да еще по сплошным верхушкам пойменного леса угадывалась большая степная река."
"sci","даниловым (1936) при описании палов в забайкалье указано, что для подавляющего большинства двудольных растений степей пожар полезен, так как уничтожается прошлогодняя, стоящая на корню ветошь, а защищённая кутикулой и волокнистым или чешуйчатым покровом верхняя часть корня совершенно не страдает от огня, великолепно предохранены и зачатки ростков."
"sci","данная стратегия заселения местообитаний (предположительно «второй» тип) является приспособительным механизмом для успешного во многих случаях гнездования в нестабильных биотопах: небольших отмелях, сухих и сырых временных островах, характерных для степных и полупустынных регионов."
"sci","данные о численности и распространении степных орлов на участках заповедника получены из трех основных источников."
"sci","данные по фауне листоедов области впоследствии были дополнены в работах автора, основанных преимущественно на материалах северо-западной (лесостепной) части области (дедюхин, 2014, 2015, 2016)."
"sci","данные факты по летнему периоду говорят о том, что подвид perdix perdix robusta в условиях степной зоны южного предуралья более устойчив к летним высоким температурам и засушливым условиям, по сравнению с номинальным подвидом и другими западнои восточноевропейскими подвидами."
"sci","два защитных участка девственной степи, один в 500, другой в 100 десятин» (бородин, 1914, с."
"fict","два небольших возвышения, вроде могил, близ этого кургана, быть может, насыпаны над павшими в битве с фрейманом... последние косые лучи солнца золотили траву на этих могильниках, и степной ветер шептал что -то невнятное и печальное...  через час мы ехали дальше по темной уже дороге."
"sci","две её территориальные пары держались на прудах на участках «таловская степь» и «ащисайская степь»."
"fict","две противоположные стороны -- ровная степь, а четвертая сторона камышиста, и есть признак (длинная паточина по небольшому долочку), что тут был когда -то проток."
"fict","двор, где они стали на квартиру, выходил в степь."
"fict","двор, унавоженный с лучших еще времен, зеленел и курчавился теперь муравой, никем не выбитой: приходила на него по вечерам их единственная корова и, загнанная в сараишко, дышала оттуда теплым, парным, и все вздыхала, неторопливо пережевывая, — степная была, неказистая коровенка, но старательная."
"sci","двух птиц наблюдали на участке «буртинская степь»."
"sci","девять симпозиумов 1997-2021 гг., которые с 2012 года проводятся в форме международных степных форумов рго, безусловно, оказали влияние на формирование сообщества степеведов, которое выразилось в издании справочного издания «исследователи степной евразии», размещенного на интернет-ресурсах."
"fict","дед щукарь уехал в степь за сеном."
"sci","дедюхин  степная зона оренбуржья представляет собой переходную в зоогеографическом плане территорию, что определяет важность глубоких фаунистических исследований разных групп организмов на её территории."
"fict","действительно, где -то около этого семиглавого урочища проходит граница самарской губернии и уральской области... теперь поезд несся уже по казачьей земле...  начиная от гурьева городка, там, где -то далеко у каспийского моря, и кончая средним течением урала и его притоками, от теряющихся в песках узеней на западе и до киргизских степей на востоке - вся эта земля не знает ни частной собственности, ни даже русских общинных переделов."
"sci","действительно, до 1997/1998 фенологического года на участке «таловская степь» лишь периодически отмечались одиночки и группы по 5–7 особей."
"sci","действительно, жук внешне очень похож на чернотелок – крупных чёрных жуков, ползающих по почве в наших степях."
"fict","действуйте, но только ни в коем случае не вблизи гремячего и не в хуторе, а где-нибудь в степи…      —слушаюсь."
"fict","день плыл над степью светлым океаном."
"sci","деревенская ласточка (hirundo rustica) достоверно гнездится на кордоне участка «таловская степь», где видели совокупление пары птиц."
"fict","дичь степная, или полевая       степь    1. дрофа    2. журавль    3. стрепет    4. кроншнеп, или степной кулик    5. кречетка, или степная пиголица    6. куропатка полевая, или серая    7. сивки, ржанки, озимые куры    8. морская ласточка, красноустик    9. коростель    10. перепелка       разряд iv."
"fict","для всякого охотника приятно встретить в это время и убить кроншнепа; он бывает тогда сторожек, сыт и довольно редок; к тому же весеннее появление и шатанье их продолжается весьма не долго: как скоро оттают и провянут степи -- кроншнепы уже там."
